iter,time,Atmosphere0,Atmosphere1,Atmosphere2,Oceans0,Oceans1,Oceans2,OCrust0,OCrust1,OCrust2,UMantle0,UMantle1,UMantle2,LMantle0,LMantle1,LMantle2,CCrust0,CCrust1,CCrust2,AbioticFixation0,AbioticFixation1,FreundlichAdsorption0,HydrothermalCirculation0,HydrothermalCirculation1,Subduction0,Volcanism0,Volcanism1,Volcanism2,Convection0,Erosion0,Erosion1,Henry0,Henry1
92000,460,2.0312497e+18,0,0,9.1012004e+15,6.7955544e+16,1.5258553e+19,0,0,1.2170535e+19,0,0,1.4291148e+18,0,0,2.2452238e+18,0,0,6.8826645e+17,2.0313833e+10,8125512.9,1.2188647e+11,2.0324304e+10,2722008.4,1.1562007e+11,2.0007607e+10,8.0030427e+10,1.5716571e+10,1.5578709e+10,6.0313852e+09,0.21626453,1307596.9,1
94000,470,2.0282477e+18,0,0,9.0877488e+15,6.785617e+16,1.5260681e+19,0,0,1.2172232e+19,0,0,1.4291501e+18,0,0,2.243959e+18,0,0,6.8878654e+17,2.0283809e+10,8113503.4,1.2188109e+11,2.0293231e+10,2717804.2,1.156362e+11,2.0008101e+10,8.0032404e+10,1.5707717e+10,1.5591988e+10,6.035943e+09,0.2205312,1439601.1,1
96000,480,2.0255351e+18,0,0,9.0755945e+15,6.7766793e+16,1.5262546e+19,0,0,1.217372e+19,0,0,1.4291884e+18,0,0,2.2428977e+18,0,0,6.8927059e+17,2.0256681e+10,8102652.1,1.2187644e+11,2.0265151e+10,2713988.5,1.1565033e+11,2.0008638e+10,8.0034551e+10,1.5700287e+10,1.5603202e+10,6.040185e+09,0.22479787,1559258.7,1
98000,490,2.0230851e+18,0,0,9.0646161e+15,6.7686478e+16,1.5264182e+19,0,0,1.2175025e+19,0,0,1.4292286e+18,0,0,2.2420076e+18,0,0,6.897207e+17,2.0232177e+10,8092850.6,1.2187242e+11,2.0239785e+10,2710524.9,1.1566273e+11,2.00092e+10,8.00368e+10,1.5694056e+10,1.5612658e+10,6.0441295e+09,0.22906453,1667669.7,1
100000,500,2.0208727e+18,0,0,9.0547028e+15,6.7614373e+16,1.5265618e+19,0,0,1.217617e+19,0,0,1.4292696e+18,0,0,2.2412615e+18,0,0,6.9013889e+17,2.0210051e+10,8084000.1,1.2186895e+11,2.0216877e+10,2707380.2,1.1567361e+11,2.0009775e+10,8.0039099e+10,1.5688833e+10,1.5620618e+10,6.0477943e+09,0.2333312,1765844.5,1
102000,510,2.0188755e+18,0,0,9.0457539e+15,6.7549705e+16,1.5266879e+19,0,0,1.2177176e+19,0,0,1.4293108e+18,0,0,2.2406363e+18,0,0,6.9052714e+17,2.0190077e+10,8076010.5,1.2186595e+11,2.0196196e+10,2704524.3,1.1568317e+11,2.0010351e+10,8.0041406e+10,1.5684456e+10,1.5627305e+10,6.0511967e+09,0.23759787,1854710,1
104000,520,2.0170732e+18,0,0,9.0376779e+15,6.7491769e+16,1.5267986e+19,0,0,1.217806e+19,0,0,1.4293516e+18,0,0,2.2401125e+18,0,0,6.9088732e+17,2.0172051e+10,8068800.3,1.2186337e+11,2.017753e+10,2701929.8,1.1569156e+11,2.0010922e+10,8.004369e+10,1.5680789e+10,1.563291e+10,6.0543532e+09,0.24186453,1935115.2,1
106000,530,2.0154471e+18,0,0,9.0303916e+15,6.7439924e+16,1.526896e+19,0,0,1.2178836e+19,0,0,1.4293916e+18,0,0,2.2396737e+18,0,0,6.9122125e+17,2.0155788e+10,8062295.2,1.2186114e+11,2.0160688e+10,2699571.7,1.1569894e+11,2.0011482e+10,8.0045926e+10,1.5677717e+10,1.5637595e+10,6.0572795e+09,0.2461312,2007836.7,1
108000,540,2.0139804e+18,0,0,9.0238196e+15,6.7393591e+16,1.5269816e+19,0,0,1.2179519e+19,0,0,1.4294303e+18,0,0,2.2393058e+18,0,0,6.9153064e+17,2.014112e+10,8056427.7,1.2185922e+11,2.0145496e+10,2697427.4,1.1570543e+11,2.0012024e+10,8.0048097e+10,1.5675142e+10,1.5641499e+10,6.0599909e+09,0.25039787,2073584.3,1
110000,550,2.0126578e+18,0,0,9.0178933e+15,6.735224e+16,1.5270569e+19,0,0,1.2180121e+19,0,0,1.4294677e+18,0,0,2.2389973e+18,0,0,6.9181714e+17,2.0127892e+10,8051136.8,1.2185756e+11,2.0131795e+10,2695476.5,1.1571114e+11,2.0012548e+10,8.0050191e+10,1.5672982e+10,1.5644739e+10,6.0625016e+09,0.25466453,2133005.5,1
